"Reference","Qty","Value","Exclude from BOM","LCSC"
"Y1","1","8mhz","","C19723344"
"U9","1","H3LIS331DL","","C2655074"
"U8","1","W25Q128JVP","","C190862"
"U7","1","LSM6DS3TR-C","","C2655100"
"U6","1","Bosch BMP388","","C779278"
"U5","1","RFM95W-915S2","","C2844473"
"U4","1","LDL1117-3.3","","C435835"
"U2","1","SN65HVD230","","C12084"
"U1","1","STM32F405RGT6","","C15742"
"TP8,TP9,TP10","3","TestPoint","",""
"SW1,SW2","2","SAMZO G4R0015010","","C49393646"
"R28,R29","2","27r","","C17594"
"R19","1","470r",""," C17710"
"R13,R14","2","5.1k","","C27834"
"R8","1","120R",""," C17437"
"R7,R12,R26,R30","4","47k","","C17713"
"R6,R11,R25","3","75k","","C17819"
"R4,R9,R23","3","100R","","C17408"
"R3,R16,R21,R22","4","1k","","C17513"
"R1,R2,R5,R10,R15,R17,R18,R20,R24,R27,R31,R32,R33,R36","14","10k","","C17414"
"Q6","1","Q_PMOS_GSD","","C16072"
"Q3","1","BC817","","C39828"
"Q1,Q2,Q4","3","IRLML2502TRPBF","","C2589"
"PowerLED1","1","RLED","","C965799"
"J9","1","USB_C_Receptacle_USB2.0_16P","","C165948"
"J8","1","Micro_SD_Card","","C164170"
"J7","1","Conn_Coaxial_Small","","C3172376"
"J4","1","Drouge","","C17644051"
"J3","1","Conn_ARM_JTAG_SWD_10","","C22438120"
"FB1","1","FerriteBead","","C1015"
"D6","1","1N5819WS","","C191023"
"D4","1","SRV05-4.TCT","","C13612"
"D2,D3","2","D_Schottky","","C113936"
"D1","1","ws2812b","","C2761795"
"C19","1","10u","","C15850"
"C15,C16","2","18p","","C113825"
"C9,C13,C28","3","1u","","C28323"
"C8","1","4.7u","","C1779"
"C3,C4","2","2.2u","","C377773"
"C1,C2,C5,C6,C7,C10,C11,C12,C14,C17,C18,C20,C21,C22,C24,C25,C26,C27","18","100nf","","C49678"
"BZ1","1","Buzzer","","C96093"
